
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
36728         0x8F78          CRC32 polynomial table, little endian
42944         0xA7C0          Android bootimg, kernel size: 0 bytes, kernel addr: 0x0, ramdisk size: 1852990827 bytes, ramdisk addr: 0x615F6C65, product name: "error"
66560         0x10400         LZMA compressed data, properties: 0x5D, dictionary size: 8388608 bytes, uncompressed size: -1 bytes
2743820       0x29DE0C        Zlib compressed data, best compression
2828618       0x2B294A        Zlib compressed data, best compression
2828648       0x2B2968        Zlib compressed data, best compression
2828660       0x2B2974        Zlib compressed data, best compression
2828690       0x2B2992        Zlib compressed data, best compression
2828720       0x2B29B0        Zlib compressed data, best compression
2828750       0x2B29CE        Zlib compressed data, best compression
2828780       0x2B29EC        Zlib compressed data, best compression
2828810       0x2B2A0A        Zlib compressed data, best compression
2828840       0x2B2A28        Zlib compressed data, best compression
2828870       0x2B2A46        Zlib compressed data, best compression
2828900       0x2B2A64        Zlib compressed data, best compression
2828930       0x2B2A82        Zlib compressed data, best compression
2828960       0x2B2AA0        Zlib compressed data, best compression
2828990       0x2B2ABE        Zlib compressed data, best compression
2829020       0x2B2ADC        Zlib compressed data, best compression
2829050       0x2B2AFA        Zlib compressed data, best compression
2829080       0x2B2B18        Zlib compressed data, best compression
2829110       0x2B2B36        Zlib compressed data, best compression
2829140       0x2B2B54        Zlib compressed data, best compression
2829170       0x2B2B72        Zlib compressed data, best compression
2829200       0x2B2B90        Zlib compressed data, best compression
2829230       0x2B2BAE        Zlib compressed data, best compression
2829260       0x2B2BCC        Zlib compressed data, best compression
2829290       0x2B2BEA        Zlib compressed data, best compression
2829320       0x2B2C08        Zlib compressed data, best compression
2829332       0x2B2C14        Zlib compressed data, best compression
2829379       0x2B2C43        Zlib compressed data, best compression
2829416       0x2B2C68        Zlib compressed data, best compression
2829515       0x2B2CCB        Zlib compressed data, best compression
2829623       0x2B2D37        Zlib compressed data, best compression
2829765       0x2B2DC5        Zlib compressed data, best compression
2829910       0x2B2E56        Zlib compressed data, best compression
2829938       0x2B2E72        Zlib compressed data, best compression
2830004       0x2B2EB4        Zlib compressed data, best compression
2830065       0x2B2EF1        Zlib compressed data, best compression
2830118       0x2B2F26        Zlib compressed data, best compression
2830160       0x2B2F50        Zlib compressed data, best compression
2830187       0x2B2F6B        Zlib compressed data, best compression
2830216       0x2B2F88        Zlib compressed data, best compression
2830239       0x2B2F9F        Zlib compressed data, best compression
2830315       0x2B2FEB        Zlib compressed data, best compression
2830420       0x2B3054        Zlib compressed data, best compression
2830459       0x2B307B        Zlib compressed data, best compression
2830547       0x2B30D3        Zlib compressed data, best compression
2830643       0x2B3133        Zlib compressed data, best compression
2830724       0x2B3184        Zlib compressed data, best compression
2830824       0x2B31E8        Zlib compressed data, best compression
2830935       0x2B3257        Zlib compressed data, best compression
2831001       0x2B3299        Zlib compressed data, best compression
2831113       0x2B3309        Zlib compressed data, best compression
2831221       0x2B3375        Zlib compressed data, best compression
2831253       0x2B3395        Zlib compressed data, best compression
2831289       0x2B33B9        Zlib compressed data, best compression
2831338       0x2B33EA        Zlib compressed data, best compression
2831372       0x2B340C        Zlib compressed data, best compression
2831426       0x2B3442        Zlib compressed data, best compression
